usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-04-01,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.08,token
2025-04-01,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.11,token
2025-04-02,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.06,token
2025-04-02,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.11,token
2025-04-04,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.07,token
2025-04-04,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.08,token
2025-04-05,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.04,token
2025-04-05,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-04-06,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-04-06,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-04-07,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.37,token
2025-04-07,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.18,token
2025-04-08,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.09,token
2025-04-08,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.05,token
2025-04-09,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,1.01,token
2025-04-09,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.42,token
2025-04-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.36,token
2025-04-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.39,token
2025-04-11,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.00,token
2025-04-11,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-04-14,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.06,token
2025-04-14,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.09,token
2025-04-15,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-04-15,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-04-16,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,1.04,token
2025-04-16,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.38,token
2025-04-17,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.79,token
2025-04-17,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.46,token
2025-04-18,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.94,token
2025-04-18,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.42,token
2025-04-20,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-04-20,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-04-21,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.33,token
2025-04-21,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.33,token
2025-04-22,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.04,token
2025-04-22,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-04-22,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.08,token
2025-04-22,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-04-23,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.15,token
2025-04-23,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-04-24,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.51,token
2025-04-24,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.32,token
2025-04-25,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.05,token
2025-04-25,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.06,token
2025-04-27,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-04-27,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-04-28,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.12,token
2025-04-28,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-04-29,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-04-29,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-04-29,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.85,token
2025-04-29,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.54,token
2025-04-30,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.50,token
2025-04-30,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.18,token
