usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-10-01,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,48994,0,0,0,2045,0
2025-10-02,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,125975,0,0,0,6700,0
2025-10-02,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,41632,0,0,0,5568,0
2025-10-06,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,48531,0,0,0,2522,0
2025-10-13,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,1629,0,0,0,1146,0
2025-10-13,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,245415,0,0,0,9581,0
2025-10-14,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,118494,0,0,0,4468,0
2025-10-15,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,12095,0,0,0,3084,0
2025-10-15,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,245881,0,0,0,11262,0
2025-10-16,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,69377,0,0,0,1874,0
2025-10-17,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,4463,0,0,0,916,0
2025-10-17,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,220194,560865,0,2887052,55895,0
2025-10-20,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,155828,0,0,0,13284,0
2025-10-22,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,199693,0,0,0,4836,0
2025-10-22,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,220222,0,0,0,12971,0
2025-10-23,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,2927,0,0,0,640,0
2025-10-23,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,159878,0,0,0,5618,0
2025-10-24,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,113350,0,0,0,23508,0
2025-10-24,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,109770,0,0,0,2161,0
2025-10-26,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,4655,0,0,0,2758,0
2025-10-27,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,19779,0,0,0,4331,0
2025-10-27,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,40103,0,0,0,1420,0
2025-10-28,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,150973,0,0,0,14584,0
2025-10-28,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,41924,0,0,0,1343,0
2025-10-29,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,91926,0,0,0,2535,0
2025-10-29,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,118133,0,0,0,2953,0
2025-10-30,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,198163,0,0,0,4979,0
2025-10-30,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,22361,0,0,0,408,0
2025-10-31,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,44888,0,0,0,1431,0
