start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,seconds
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,,,,,,
1762041600,1762128000,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,,,,,,
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,,,,,,
1762214400,1762300800,2025-11-04T00:00:00+00:00,2025-11-05T00:00:00+00:00,,,,,,
1762300800,1762387200,2025-11-05T00:00:00+00:00,2025-11-06T00:00:00+00:00,,,,,,
1762387200,1762473600,2025-11-06T00:00:00+00:00,2025-11-07T00:00:00+00:00,,,,,,
1762473600,1762560000,2025-11-07T00:00:00+00:00,2025-11-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,whisper-1,3.0
1762560000,1762646400,2025-11-08T00:00:00+00:00,2025-11-09T00:00:00+00:00,,,,,,
1762646400,1762732800,2025-11-09T00:00:00+00:00,2025-11-10T00:00:00+00:00,,,,,,
1762732800,1762819200,2025-11-10T00:00:00+00:00,2025-11-11T00:00:00+00:00,,,,,,
1762819200,1762905600,2025-11-11T00:00:00+00:00,2025-11-12T00:00:00+00:00,,,,,,
1762905600,1762992000,2025-11-12T00:00:00+00:00,2025-11-13T00:00:00+00:00,,,,,,
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,,,,,,
1763078400,1763164800,2025-11-14T00:00:00+00:00,2025-11-15T00:00:00+00:00,,,,,,
1763164800,1763251200,2025-11-15T00:00:00+00:00,2025-11-16T00:00:00+00:00,,,,,,
1763251200,1763337600,2025-11-16T00:00:00+00:00,2025-11-17T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,whisper-1,20.0
1763337600,1763424000,2025-11-17T00:00:00+00:00,2025-11-18T00:00:00+00:00,,,,,,
1763424000,1763510400,2025-11-18T00:00:00+00:00,2025-11-19T00:00:00+00:00,,,,,,
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,,,,,,
1763596800,1763683200,2025-11-20T00:00:00+00:00,2025-11-21T00:00:00+00:00,,,,,,
1763683200,1763769600,2025-11-21T00:00:00+00:00,2025-11-22T00:00:00+00:00,,,,,,
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,,,,,,
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,,,,,,
1763942400,1764028800,2025-11-24T00:00:00+00:00,2025-11-25T00:00:00+00:00,,,,,,
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,,,,,,
1764115200,1764201600,2025-11-26T00:00:00+00:00,2025-11-27T00:00:00+00:00,,,,,,
1764201600,1764288000,2025-11-27T00:00:00+00:00,2025-11-28T00:00:00+00:00,,,,,,
1764288000,1764374400,2025-11-28T00:00:00+00:00,2025-11-29T00:00:00+00:00,,,,,,
1764374400,1764460800,2025-11-29T00:00:00+00:00,2025-11-30T00:00:00+00:00,,,,,,
1764460800,1764547200,2025-11-30T00:00:00+00:00,2025-12-01T00:00:00+00:00,,,,,,
